,nb_parties,time
0,2,1.8891048431396484
1,2,1.8898191452026367
2,2,2.6568682193756104
3,2,2.6575119495391846
4,2,1.9049572944641113
5,2,1.9055297374725342
6,2,2.7214269638061523
7,2,2.7225451469421387
8,2,2.743252992630005
9,2,2.743830919265747
10,2,2.7280030250549316
11,2,2.7286999225616455
12,2,1.9340119361877441
13,2,1.9346821308135986
14,2,2.725038766860962
15,2,2.7256548404693604
16,2,1.9409589767456055
17,2,1.9417731761932373
18,2,2.7517571449279785
19,2,2.75229811668396
20,10,15.914355993270874
21,10,15.925197839736938
22,10,15.925889730453491
23,10,15.930275201797485
24,10,15.921226978302002
25,10,15.92573595046997
26,10,15.91745400428772
27,10,16.119419813156128
28,10,16.131619930267334
29,10,16.123143196105957
30,10,16.062636137008667
31,10,16.056818962097168
32,10,16.055309057235718
33,10,16.082041025161743
34,10,16.074405193328857
35,10,16.065921783447266
36,10,16.04865598678589
37,10,16.066528797149658
38,10,16.082093000411987
39,10,16.231937170028687
40,10,16.03070592880249
41,10,16.02846384048462
42,10,16.016511917114258
43,10,16.040468215942383
44,10,16.03073287010193
45,10,16.047894716262817
46,10,16.05057191848755
47,10,16.0457820892334
48,10,16.060006856918335
49,10,16.233036041259766
50,10,15.219413042068481
51,10,15.214226722717285
52,10,15.24647307395935
53,10,15.210810899734497
54,10,15.212074041366577
55,10,15.209873914718628
56,10,15.227304220199585
57,10,15.220367670059204
58,10,15.381744861602783
59,10,15.412601947784424
60,10,16.273585081100464
61,10,16.22759199142456
62,10,16.279328107833862
63,10,16.28249502182007
64,10,16.3213369846344
65,10,16.410063982009888
66,10,16.409905910491943
67,10,16.433614015579224
68,10,16.43048405647278
69,10,16.41735816001892
70,10,16.032475233078003
71,10,16.040666103363037
72,10,16.049701929092407
73,10,16.042694807052612
74,10,16.062302112579346
75,10,16.044353008270264
76,10,16.032299757003784
77,10,16.230310916900635
78,10,16.24294686317444
79,10,16.235217094421387
80,10,16.81460475921631
81,10,16.84160876274109
82,10,16.83414316177368
